scaffold,start,end,mid,sites,sitesUsed,D,fd,fdM
chr1,1080001,1100000,1096852,6041,82,-0.0862,nan,-0.0628
chr1,1100001,1120000,1107900,12013,153,0.1257,0.1833,0.1216
chr1,1120001,1140000,1125356,1211,4,nan,nan,nan
chr1,1140001,1160000,nan,0,nan,nan,nan,nan
chr1,1160001,1180000,nan,0,nan,nan,nan,nan
chr1,1180001,1200000,nan,0,nan,nan,nan,nan
chr1,1200001,1220000,nan,0,nan,nan,nan,nan
chr1,1220001,1240000,nan,0,nan,nan,nan,nan
chr1,1240001,1260000,nan,0,nan,nan,nan,nan
chr1,1260001,1280000,nan,0,nan,nan,nan,nan
chr1,1280001,1300000,nan,0,nan,nan,nan,nan
chr1,1300001,1320000,nan,0,nan,nan,nan,nan
chr1,1320001,1340000,nan,0,nan,nan,nan,nan
chr1,1340001,1360000,nan,0,nan,nan,nan,nan
chr1,1360001,1380000,nan,0,nan,nan,nan,nan
chr1,1380001,1400000,nan,0,nan,nan,nan,nan
chr1,1400001,1420000,nan,0,nan,nan,nan,nan
chr1,1420001,1440000,nan,0,nan,nan,nan,nan
chr1,1440001,1460000,nan,0,nan,nan,nan,nan
chr1,1460001,1480000,nan,0,nan,nan,nan,nan
chr1,1480001,1500000,nan,0,nan,nan,nan,nan
chr1,1500001,1520000,nan,0,nan,nan,nan,nan
chr1,1520001,1540000,nan,0,nan,nan,nan,nan
chr1,1540001,1560000,nan,0,nan,nan,nan,nan
chr1,1560001,1580000,nan,0,nan,nan,nan,nan
chr1,1580001,1600000,1587461,333,2,nan,nan,nan
chr1,1600001,1620000,nan,0,nan,nan,nan,nan
chr1,1620001,1640000,1627386,4500,107,0.0572,0.0581,0.0344
chr1,1640001,1660000,1652787,11232,121,0.2424,0.1296,0.0373
chr1,1660001,1680000,1665975,8186,100,0.2708,0.2245,0.1813
chr1,1680001,1700000,1699369,214,4,nan,nan,nan
chr1,1700001,1720000,1701626,817,16,0.4845,0.8929,0.3585
chr1,1720001,1740000,1738523,948,17,-0.288,nan,-0.2609
chr1,1740001,1760000,1752054,4682,61,0.3272,0.2659,0.1918
chr1,1760001,1780000,1768307,8235,60,0.627,0.3407,0.2761
chr1,1780001,1800000,1794933,4470,113,0.07,0.0481,0.0181
chr1,1800001,1820000,1814284,2884,14,-0.9344,nan,-0.6739
chr1,1820001,1840000,1831921,9715,176,0.155,0.1429,0.0862
chr1,1840001,1860000,1851351,6635,196,-0.1001,nan,-0.0547
chr1,1860001,1880000,1865616,8574,125,0.1681,0.098,0.073
chr1,1880001,1900000,1899988,21,0,nan,nan,nan
chr1,1900001,1920000,1909614,9463,112,-0.4641,nan,-0.3446
chr1,1920001,1940000,1932667,7052,5,nan,nan,nan
chr1,1940001,1960000,1952583,6078,10,1.0,0.0307,0.0278
chr1,1960001,1980000,nan,0,nan,nan,nan,nan
chr1,1980001,2000000,1991358,10367,110,-0.3607,nan,-0.1527
chr1,2000001,2020000,2012991,7652,79,0.1934,0.0808,0.0581
chr1,2020001,2040000,2030320,16962,165,-0.4667,nan,-0.2775
chr1,2040001,2060000,2048865,15285,176,0.0812,0.1122,0.0514
chr1,2060001,2080000,2068660,3569,45,0.1946,0.2184,0.1914
chr1,2080001,2100000,2092856,5447,30,-0.0492,nan,-0.0387
chr1,2100001,2120000,2110031,13629,103,-0.0661,nan,-0.0452
chr1,2120001,2140000,2122077,1309,16,-0.7586,nan,-0.3607
chr1,2140001,2160000,2152841,3872,49,0.0782,0.0893,0.0363
chr1,2160001,2180000,2170319,7267,185,-0.1465,nan,-0.0054
chr1,2180001,2200000,2184548,5205,74,0.1157,0.0938,0.074
chr1,2200001,2220000,2217413,3458,35,-0.8353,nan,-0.4505
chr1,2220001,2240000,2229888,14848,165,-0.2837,nan,-0.1203
chr1,2240001,2260000,2249301,13219,121,-0.11,nan,-0.107
chr1,2260001,2280000,2270325,15088,135,0.076,0.0668,0.0364
chr1,2280001,2300000,2289289,14344,112,-0.0142,nan,-0.0063
chr1,2300001,2320000,2312547,9795,146,-0.1858,nan,-0.1226
chr1,2320001,2340000,2330722,9641,120,0.3827,0.2581,0.1829
chr1,2340001,2360000,2345423,7224,150,0.5591,0.2889,0.2279
chr1,2360001,2380000,2368498,2463,52,0.828,0.3852,0.3564
chr1,2380001,2400000,2393905,3553,63,-0.0303,nan,-0.0324
chr1,2400001,2420000,2406115,7707,148,-0.5202,nan,-0.3638
chr1,2420001,2440000,2439761,476,12,0.0,0.0,0.0
chr1,2440001,2460000,2449730,14525,171,0.3062,0.3403,0.3013
chr1,2460001,2480000,2469431,8726,161,-0.236,nan,-0.3053
chr1,2480001,2500000,2489978,17133,323,0.0499,0.0876,0.0448
chr1,2500001,2520000,2509380,15998,170,0.4939,0.584,0.5411
chr1,2520001,2540000,2528646,16837,194,0.7616,0.7732,0.4006
chr1,2540001,2560000,2548886,8958,189,0.4636,0.6089,0.3316
chr1,2560001,2580000,2570757,10895,171,-0.1326,nan,-0.0754
chr1,2580001,2600000,2590060,1946,29,0.0306,0.0382,0.0314
chr1,2600001,2620000,2611623,8715,121,0.4347,0.0585,0.0514
chr1,2620001,2640000,2623289,821,3,nan,nan,nan
chr1,2640001,2660000,2657468,2475,20,-1.0,nan,-0.0181
chr1,2660001,2680000,2664356,3835,51,0.5847,0.4317,0.3784
chr1,2680001,2700000,2696612,3536,90,0.0629,0.096,0.0711
chr1,2700001,2720000,2711041,8996,105,-0.0524,nan,-0.0385
chr1,2720001,2740000,2729634,14769,181,-0.0051,nan,-0.0038
chr1,2740001,2760000,2747562,6810,87,-0.1336,nan,-0.1039
chr1,2760001,2780000,2778640,2233,59,-0.3622,nan,-0.2906
chr1,2780001,2800000,2790485,10903,353,-0.1326,nan,-0.086
chr1,2800001,2820000,2811344,12118,247,-0.0438,nan,-0.0391
chr1,2820001,2840000,2830327,16029,170,-0.1769,nan,-0.1078
chr1,2840001,2860000,2849585,16503,204,0.142,0.0973,0.0693
chr1,2860001,2880000,2863731,6105,59,0.3757,0.3211,0.2854
chr1,2880001,2900000,2894430,8608,118,-0.0748,nan,-0.0388
chr1,2900001,2920000,2909956,14399,195,0.0947,0.1822,0.0798
chr1,2920001,2940000,2924329,5361,72,-0.238,nan,-0.123
chr1,2940001,2960000,nan,0,nan,nan,nan,nan
chr1,2960001,2980000,nan,0,nan,nan,nan,nan
chr1,2980001,3000000,2991228,3170,30,0.0281,0.0145,0.0123
chr1,3000001,3020000,3002033,218,2,nan,nan,nan
chr1,3020001,3040000,3039102,169,0,nan,nan,nan
chr1,3040001,3060000,3055173,5822,27,0.0209,0.0444,0.011
chr1,3060001,3080000,3060075,121,0,nan,nan,nan
chr1,3080001,3100000,3093608,1280,12,0.7333,0.4552,0.3697
chr1,3100001,3120000,nan,0,nan,nan,nan,nan
chr1,3120001,3140000,3131908,14796,291,-0.1447,nan,-0.1085
chr1,3140001,3160000,3146493,1057,10,0.416,0.975,0.2816
chr1,3160001,3180000,nan,0,nan,nan,nan,nan
chr1,3180001,3200000,3185360,803,7,nan,nan,nan
chr1,3200001,3220000,nan,0,nan,nan,nan,nan
chr1,3220001,3240000,3234231,1428,40,0.1642,0.2966,0.2304
chr1,3240001,3260000,3241937,897,18,0.1762,0.2358,0.1871
chr1,3260001,3280000,3271905,3188,15,1.0,0.1897,0.1875
chr1,3280001,3300000,nan,0,nan,nan,nan,nan
chr1,3300001,3320000,3311792,10083,153,0.0806,0.0791,0.0548
chr1,3320001,3340000,3326014,4493,62,-0.1619,nan,-0.1087
chr1,3340001,3360000,3349791,10299,100,-0.1219,nan,-0.0686
chr1,3360001,3380000,3370122,9990,76,-0.3712,nan,-0.15
chr1,3380001,3400000,nan,0,nan,nan,nan,nan
chr1,3400001,3420000,3407349,8777,93,0.081,0.048,0.0372
chr1,3420001,3440000,nan,0,nan,nan,nan,nan
chr1,3440001,3460000,3451828,2095,25,0.5165,0.1969,0.1597
chr1,3460001,3480000,nan,0,nan,nan,nan,nan
chr1,3480001,3500000,3491247,12542,97,0.0107,0.0128,0.0078
chr1,3500001,3520000,3508826,16222,170,-0.1313,nan,-0.0753
chr1,3520001,3540000,3531021,7165,36,-0.2322,nan,-0.1556
chr1,3540001,3560000,3550741,6410,71,0.3254,0.2348,0.1608
chr1,3560001,3580000,3570009,15244,262,-0.2038,nan,-0.1725
chr1,3580001,3600000,3588242,10063,191,-0.3389,nan,-0.2844
chr1,3600001,3620000,3613677,4520,40,-0.3813,nan,-0.2775
chr1,3620001,3640000,3630499,9870,118,-0.2027,nan,-0.151
chr1,3640001,3660000,3651933,5960,101,-0.3059,nan,-0.1961
chr1,3660001,3680000,3671016,13080,199,0.2048,0.2308,0.149
chr1,3680001,3700000,3682214,3819,84,0.0847,0.1455,0.0837
chr1,3700001,3720000,3718041,641,2,nan,nan,nan
chr1,3720001,3740000,3732081,6423,76,0.3639,0.2603,0.2093
chr1,3740001,3760000,3757485,494,1,nan,nan,nan
chr1,3760001,3780000,3770580,12333,222,-0.1261,nan,-0.1267
chr1,3780001,3800000,3788534,8044,90,0.1761,0.2003,0.1383
chr1,3800001,3820000,3800643,1169,25,-0.0909,nan,-0.0506
chr1,3820001,3840000,3833293,2592,29,-0.2767,nan,-0.2468
chr1,3840001,3860000,3857441,3968,59,-0.1392,nan,-0.1174
chr1,3860001,3880000,3870777,15951,142,-0.1619,nan,-0.1128
chr1,3880001,3900000,3891774,11526,70,-0.0067,nan,-0.0057
chr1,3900001,3920000,3907135,12310,119,-0.1628,nan,-0.1188
chr1,3920001,3940000,3936076,7494,68,-0.1436,nan,-0.1516
chr1,3940001,3960000,3948439,11564,133,-0.1646,nan,-0.1589
chr1,3960001,3980000,3962789,1410,7,nan,nan,nan
chr1,3980001,4000000,3997209,1948,23,0.2672,0.4167,0.1754
chr1,4000001,4020000,4008234,3920,56,0.6568,0.1972,0.1717
chr1,4020001,4040000,nan,0,nan,nan,nan,nan
chr1,4040001,4060000,4055192,2273,23,0.1726,0.1058,0.0708
chr1,4060001,4080000,4071186,8296,119,0.2409,0.3087,0.1639
chr1,4080001,4100000,4097249,3927,27,0.2759,0.3973,0.2329
chr1,4100001,4120000,4106429,8836,36,0.1978,0.1248,0.0827
chr1,4120001,4140000,nan,0,nan,nan,nan,nan
chr1,4140001,4160000,4140656,359,9,nan,nan,nan
chr1,4160001,4180000,nan,0,nan,nan,nan,nan
chr1,4180001,4200000,nan,0,nan,nan,nan,nan
chr1,4200001,4220000,nan,0,nan,nan,nan,nan
chr1,4220001,4240000,nan,0,nan,nan,nan,nan
chr1,4240001,4260000,nan,0,nan,nan,nan,nan
chr1,4260001,4280000,nan,0,nan,nan,nan,nan
chr1,4280001,4300000,nan,0,nan,nan,nan,nan
chr1,4300001,4320000,nan,0,nan,nan,nan,nan
chr1,4320001,4340000,nan,0,nan,nan,nan,nan
chr1,4340001,4360000,nan,0,nan,nan,nan,nan
chr1,4360001,4380000,nan,0,nan,nan,nan,nan
chr1,4380001,4400000,4392932,1906,7,nan,nan,nan
chr1,4400001,4420000,4414017,739,6,nan,nan,nan
chr1,4420001,4440000,4431337,15282,94,0.9191,0.8943,0.8089
chr1,4440001,4460000,4449978,19764,137,0.7406,0.5471,0.3878
chr1,4460001,4480000,4461270,2521,18,0.7638,0.4601,0.3444
chr1,4480001,4500000,4497908,3311,46,-0.6559,nan,-0.1754
chr1,4500001,4520000,nan,0,nan,nan,nan,nan
chr1,4520001,4540000,nan,0,nan,nan,nan,nan
chr1,4540001,4560000,4556457,3585,18,0.5911,0.826,0.5336
chr1,4560001,4580000,nan,0,nan,nan,nan,nan
chr1,4580001,4600000,4594002,7161,23,0.5456,0.3903,0.3027
chr1,4600001,4620000,4610362,14016,60,-0.1455,nan,-0.0453
chr1,4620001,4640000,4623960,7058,32,0.5501,0.2809,0.1834
chr1,4640001,4660000,4651056,6988,19,0.8532,0.3848,0.3614
chr1,4660001,4680000,4670676,10342,46,0.9631,0.7792,0.7039
chr1,4680001,4700000,4690515,8725,114,0.9529,0.8317,0.7962
chr1,4700001,4720000,4711517,16051,85,0.9939,0.8511,0.8399
chr1,4720001,4740000,4729100,16200,27,0.4189,0.253,0.1797
chr1,4740001,4760000,4749813,15199,140,-0.6148,nan,-0.2495
chr1,4760001,4780000,4769711,2815,10,0.4802,0.6806,0.396
chr1,4780001,4800000,4790364,16569,83,0.6117,0.2319,0.1898
chr1,4800001,4820000,4807975,13268,82,0.0808,0.0994,0.0364
chr1,4820001,4840000,4837782,1952,15,0.2417,0.2545,0.239
chr1,4840001,4860000,4843736,6537,25,0.7014,0.7014,0.6368
chr1,4860001,4880000,4875253,8129,43,-0.3056,nan,-0.2405
chr1,4880001,4900000,4890708,14856,57,0.0477,0.084,0.0474
chr1,4900001,4920000,4909958,17425,94,-0.2424,nan,-0.1895
chr1,4920001,4940000,4929833,15554,135,0.0957,0.1502,0.0713
chr1,4940001,4960000,4947081,12400,98,0.3145,0.3573,0.1469
chr1,4960001,4980000,4971154,14753,107,0.1537,0.2315,0.1135
chr1,4980001,5000000,4988391,7998,59,-0.2878,nan,-0.1297
chr1,5000001,5020000,5009737,15172,148,-0.0824,nan,-0.0429
chr1,5020001,5040000,5027906,13259,183,0.4153,0.486,0.3195
chr1,5040001,5060000,5045899,6968,76,0.2942,0.3476,0.2116
chr1,5060001,5080000,5072574,4616,56,0.1249,0.1892,0.0807
chr1,5080001,5100000,nan,0,nan,nan,nan,nan
chr1,5100001,5120000,5117384,600,3,nan,nan,nan
chr1,5120001,5140000,5128036,12750,151,-0.0005,nan,-0.0003
chr1,5140001,5160000,5150085,15639,179,-0.3838,nan,-0.1557
chr1,5160001,5180000,5165301,4838,65,0.2931,0.3016,0.1774
chr1,5180001,5200000,5199792,415,0,nan,nan,nan
chr1,5200001,5220000,5211990,11984,76,-0.2354,nan,-0.0958
chr1,5220001,5240000,5229160,16725,89,-0.2344,nan,-0.06
chr1,5240001,5260000,5248549,14067,38,0.2133,0.4318,0.278
chr1,5260001,5280000,5269804,17394,23,0.8182,0.3837,0.2838
chr1,5280001,5300000,5287677,13478,23,0.2,0.325,0.1738
chr1,5300001,5320000,5315674,7154,55,-0.5097,nan,-0.1621
chr1,5320001,5340000,5329190,13036,64,-0.3053,nan,-0.1144
chr1,5340001,5360000,5353112,9306,86,-0.4917,nan,-0.1308
chr1,5360001,5380000,5367454,7822,135,0.3006,0.3207,0.1471
chr1,5380001,5400000,5390485,16613,191,-0.0211,nan,-0.0072
chr1,5400001,5420000,5407365,11232,127,-0.4961,nan,-0.381
chr1,5420001,5440000,5430693,816,3,nan,nan,nan
chr1,5440001,5460000,5447646,5277,50,-0.5514,nan,-0.5615
chr1,5460001,5480000,5471917,8037,37,0.3333,0.0846,0.0504
chr1,5480001,5500000,5480379,568,3,nan,nan,nan
chr1,5500001,5520000,nan,0,nan,nan,nan,nan
chr1,5520001,5540000,nan,0,nan,nan,nan,nan
chr1,5540001,5560000,nan,0,nan,nan,nan,nan
chr1,5560001,5580000,nan,0,nan,nan,nan,nan
chr1,5580001,5600000,5594799,3311,37,-0.2714,nan,-0.0565
chr1,5600001,5620000,nan,0,nan,nan,nan,nan
chr1,5620001,5640000,5634200,8918,72,-0.6105,nan,-0.2451
chr1,5640001,5660000,5650839,13570,75,-0.2611,nan,-0.175
chr1,5660001,5680000,5669782,16741,55,0.017,0.0222,0.0174
chr1,5680001,5700000,5690951,15611,52,0.2612,0.1934,0.1464
chr1,5700001,5720000,5709993,19399,34,0.0265,0.016,0.0136
chr1,5720001,5740000,5728833,16643,53,-0.1911,nan,-0.1662
chr1,5740001,5760000,5749746,5800,14,nan,nan,0.0
chr1,5760001,5780000,5775116,6876,25,-0.2455,nan,-0.1971
chr1,5780001,5800000,5789473,14670,59,0.1711,0.1685,0.1302
chr1,5800001,5820000,5808763,13174,62,0.5791,0.7089,0.5256
chr1,5820001,5840000,5830003,19573,87,0.1282,0.1508,0.1121
chr1,5840001,5860000,5850790,17879,76,0.1118,0.1269,0.1011
chr1,5860001,5880000,5862491,4163,13,-0.1683,nan,-0.1534
chr1,5880001,5900000,5890742,10448,78,-0.0232,nan,-0.0164
chr1,5900001,5920000,5907778,10212,31,-0.4706,nan,-0.3395
chr1,5920001,5940000,5932146,8757,32,-0.593,nan,-0.4564
chr1,5940001,5960000,5948764,12553,28,0.2821,0.3093,0.2259
chr1,5960001,5980000,5970081,17153,67,0.0396,0.0513,0.0392
chr1,5980001,6000000,5989968,18579,143,-0.1008,nan,-0.1008
chr1,6000001,6020000,6004441,3526,21,0.5217,0.3763,0.3541
chr1,6020001,6040000,6026100,4275,20,-0.3077,nan,-0.1004
chr1,6040001,6060000,nan,0,nan,nan,nan,nan
chr1,6060001,6080000,nan,0,nan,nan,nan,nan
chr1,6080001,6100000,nan,0,nan,nan,nan,nan
chr1,6100001,6120000,nan,0,nan,nan,nan,nan
chr1,6120001,6140000,nan,0,nan,nan,nan,nan
chr1,6140001,6160000,nan,0,nan,nan,nan,nan
chr1,6160001,6180000,nan,0,nan,nan,nan,nan
chr1,6180001,6200000,nan,0,nan,nan,nan,nan
chr1,6200001,6220000,nan,0,nan,nan,nan,nan
chr1,6220001,6240000,nan,0,nan,nan,nan,nan
chr1,6240001,6260000,nan,0,nan,nan,nan,nan
chr1,6260001,6280000,nan,0,nan,nan,nan,nan
chr1,6280001,6300000,nan,0,nan,nan,nan,nan
chr1,6300001,6320000,nan,0,nan,nan,nan,nan
chr1,6320001,6340000,6333460,12686,71,0.2419,0.1828,0.1466
chr1,6340001,6360000,6349745,17948,142,-0.1548,nan,-0.1079
chr1,6360001,6380000,6369902,18640,219,-0.0502,nan,-0.0322
chr1,6380001,6400000,6385612,2415,25,-0.1538,nan,-0.0754
chr1,6400001,6420000,6409767,4256,49,0.2484,0.3485,0.2646
chr1,6420001,6440000,6437452,3013,21,0.0816,0.039,0.0275
chr1,6440001,6460000,6450200,18979,139,0.3678,0.382,0.3058
chr1,6460001,6480000,6469936,19113,143,0.1268,0.1666,0.1188
chr1,6480001,6500000,6490066,18955,150,-0.0806,nan,-0.0604
chr1,6500001,6520000,6509673,11253,122,0.1839,0.1647,0.1324
chr1,6520001,6540000,6522190,2133,11,1.0,0.1561,0.1561
chr1,6540001,6560000,nan,0,nan,nan,nan,nan
chr1,6560001,6580000,nan,0,nan,nan,nan,nan
chr1,6580001,6600000,nan,0,nan,nan,nan,nan
chr1,6600001,6620000,nan,0,nan,nan,nan,nan
chr1,6620001,6640000,nan,0,nan,nan,nan,nan
chr1,6640001,6660000,nan,0,nan,nan,nan,nan
chr1,6660001,6680000,nan,0,nan,nan,nan,nan
chr1,6680001,6700000,nan,0,nan,nan,nan,nan
chr1,6700001,6720000,nan,0,nan,nan,nan,nan
chr1,6720001,6740000,nan,0,nan,nan,nan,nan
chr1,6740001,6760000,nan,0,nan,nan,nan,nan
chr1,6760001,6780000,nan,0,nan,nan,nan,nan
chr1,6780001,6800000,nan,0,nan,nan,nan,nan
chr1,6800001,6820000,nan,0,nan,nan,nan,nan
chr1,6820001,6840000,nan,0,nan,nan,nan,nan
chr1,6840001,6860000,nan,0,nan,nan,nan,nan
chr1,6860001,6880000,nan,0,nan,nan,nan,nan
chr1,6880001,6900000,nan,0,nan,nan,nan,nan
chr1,6900001,6920000,6914854,4367,52,0.2559,0.2603,0.1878
chr1,6920001,6940000,6924786,3721,2,nan,nan,nan
chr1,6940001,6960000,nan,0,nan,nan,nan,nan
chr1,6960001,6980000,6970241,5773,27,-0.2086,nan,-0.0861
chr1,6980001,7000000,6985710,3676,32,0.1231,0.1628,0.1015
chr1,7000001,7020000,7012773,12591,99,-0.3027,nan,-0.215
chr1,7020001,7040000,7030473,17829,100,-0.5624,nan,-0.3965
chr1,7040001,7060000,7043014,4723,27,-1.0,nan,-0.1395
chr1,7060001,7080000,7073434,12636,71,-0.2045,nan,-0.1538
chr1,7080001,7100000,7090499,16606,83,0.2244,0.4601,0.2167
chr1,7100001,7120000,7109396,15573,57,-0.1877,nan,-0.1664
chr1,7120001,7140000,7130143,15897,38,-0.3204,nan,-0.2579
chr1,7140001,7160000,7150219,17294,32,-0.269,nan,-0.1276
chr1,7160001,7180000,7169866,18833,44,0.1554,0.373,0.219
chr1,7180001,7200000,7190637,15425,58,0.7027,0.7005,0.4472
chr1,7200001,7220000,7210074,18868,61,0.5882,0.4822,0.2942
chr1,7220001,7240000,7229505,17983,68,0.4781,0.2579,0.2093
chr1,7240001,7260000,7250320,18439,75,0.0546,0.1201,0.0479
chr1,7260001,7280000,7269978,18049,79,0.2909,0.3491,0.2562
chr1,7280001,7300000,7289897,17644,88,0.1787,0.2023,0.1087
chr1,7300001,7320000,7309749,19001,105,-0.0682,nan,-0.0612
chr1,7320001,7340000,7329747,19122,83,0.5644,0.3453,0.3205
chr1,7340001,7360000,7349572,17363,120,0.1746,0.2038,0.1171
chr1,7360001,7380000,7370485,16814,135,0.4428,0.4047,0.2795
chr1,7380001,7400000,7390005,19049,108,0.0934,0.0933,0.0552
chr1,7400001,7420000,7409639,17339,104,0.5359,0.7498,0.6915
chr1,7420001,7440000,7425654,8475,27,0.2935,0.7108,0.2423
chr1,7440001,7460000,7457064,5781,18,0.3667,0.4653,0.2552
chr1,7460001,7480000,7468630,15333,70,0.2328,0.1864,0.118
chr1,7480001,7500000,7499024,1944,6,nan,nan,nan
chr1,7500001,7520000,7506754,13099,58,-0.2961,nan,-0.2541
chr1,7520001,7540000,7529953,18442,138,0.1097,0.1589,0.0498
chr1,7540001,7560000,7549665,11760,80,0.0805,0.3879,0.0198
chr1,7560001,7580000,7569097,10224,54,-0.3947,nan,-0.0543
chr1,7580001,7600000,7598808,1727,6,nan,nan,nan
chr1,7600001,7620000,7603931,6078,28,0.2208,0.3296,0.2753
chr1,7620001,7640000,7634644,1701,4,nan,nan,nan
chr1,7640001,7660000,7646039,1609,7,nan,nan,nan
chr1,7660001,7680000,7676647,5873,16,0.6184,0.5802,0.4879
chr1,7680001,7700000,7691139,16365,90,0.2984,0.5408,0.3174
chr1,7700001,7720000,7709758,13970,59,-0.2282,nan,-0.0598
chr1,7720001,7740000,7729547,14051,97,-0.233,nan,-0.1662
chr1,7740001,7760000,7741966,3669,22,0.7273,0.0628,0.0494
chr1,7760001,7780000,7768564,5027,17,0.0,0.0,0.0
chr1,7780001,7800000,7789528,15199,82,0.1134,0.0257,0.0198
chr1,7800001,7820000,7810348,17988,108,0.2275,0.1604,0.1395
chr1,7820001,7840000,7829631,18390,74,0.017,0.0125,0.01
chr1,7840001,7860000,7851942,3499,33,-0.5756,nan,-0.4078
chr1,7860001,7880000,7869396,15058,83,-0.4128,nan,-0.4493
chr1,7880001,7900000,7890088,16561,94,0.1573,0.1823,0.1315
chr1,7900001,7920000,7909525,14241,87,0.3786,0.3649,0.2776
chr1,7920001,7940000,7931425,11183,61,-0.0309,nan,-0.0285
chr1,7940001,7960000,7950271,18481,112,-0.0311,nan,-0.0274
chr1,7960001,7980000,7969830,18614,135,-0.075,nan,-0.0667
chr1,7980001,8000000,7990065,18974,116,0.0362,0.0657,0.0359
chr1,8000001,8020000,8010040,18859,83,0.5982,0.7183,0.3978
chr1,8020001,8040000,8029798,18971,112,0.8398,0.8617,0.5969
chr1,8040001,8060000,8049867,17971,92,0.781,0.7399,0.4346
chr1,8060001,8080000,8070080,19257,71,0.6962,0.5213,0.3601
chr1,8080001,8100000,8090055,19421,59,0.1652,0.2293,0.1726
chr1,8100001,8120000,8109920,17820,43,-0.2166,nan,-0.1878
chr1,8120001,8140000,8126573,12696,48,0.6634,0.6243,0.5074
chr1,8140001,8160000,8151961,14954,56,-0.0929,nan,-0.052
chr1,8160001,8180000,8170048,19078,83,0.0766,0.1082,0.0447
chr1,8180001,8200000,8189937,19127,60,0.0582,0.1127,0.0274
chr1,8200001,8220000,8209733,16838,52,0.4475,0.3845,0.2414
chr1,8220001,8240000,8230259,18513,34,0.6,0.5263,0.3282
chr1,8240001,8260000,8248536,16011,58,-0.0751,nan,-0.0348
chr1,8260001,8280000,8268149,13999,56,0.4504,0.5699,0.2099
chr1,8280001,8300000,8293503,12190,28,0.7044,0.4898,0.3872
chr1,8300001,8320000,8310326,13491,50,0.3841,0.5116,0.2609
chr1,8320001,8340000,8330047,19142,66,-0.1529,nan,-0.0797
chr1,8340001,8360000,8344017,7966,36,0.7097,0.6536,0.5167
chr1,8360001,8380000,8377594,4767,16,-0.1095,nan,-0.1483
